Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
21/7/2020 ,39170,1194084,27589,752284,671,28772
22/7/2020 ,45601,1239685,31875,784159,1130,29902
23/7/2020 ,48443,1288128,33326,817485,755,30657
24/7/2020 ,48888,1337016,32514,849999,763,31420
25/7/2020 ,50072,1387088,37125,887124,703,32123
26/7/2020 ,48932,1436020,31512,918636,704,32827
27/7/2020 ,46484,1482504,34354,952990,642,33469
28/7/2020 ,49631,1532135,35683,988673,774,34243
29/7/2020 ,52479,1584614,32886,1021559,775,35018
30/7/2020 ,54968,1639582,37425,1058984,784,35802
31/7/2020 ,57486,1697068,36554,1095538,764,36566
01/8/2020 ,55117,1752185,51368,1146906,854,37420
02/8/2020 ,52672,1804857,40355,1187261,760,38180
03/8/2020 ,50488,1855345,43070,1230331,806,38986
04/8/2020 ,51282,1906627,51220,1281551,849,39835
05/8/2020 ,56626,1963253,45583,1327134,919,40754
06/8/2020 ,62170,2025423,50141,1377275,899,41653
07/8/2020 ,61455,2086878,50387,1427662,936,42589
08/8/2020 ,65156,2152034,52135,1479797,875,43464
09/8/2020 ,62117,2214151,54474,1534271,1013,44477
10/8/2020 ,53016,2267167,47362,1581633,887,45364
11/8/2020 ,61252,2328419,56461,1638094,835,46199
12/8/2020 ,67066,2395485,57759,1695853,950,47149
13/8/2020 ,64141,2459626,54776,1750629,1006,48155
14/8/2020 ,65610,2525236,56920,1807549,989,49144
15/8/2020 ,63986,2589222,53116,1860665,952,50096
16/8/2020 ,58096,2647318,57404,1918069,952,51048
17/8/2020 ,54298,2701616,58172,1976241,880,51928
18/8/2020 ,65024,2766640,60455,2036696,1099,53027
19/8/2020 ,69196,2835836,59365,2096061,979,54006
20/8/2020 ,68518,2904354,61873,2157934,981,54987
21/8/2020 ,69029,2973383,62858,2220792,953,55940
22/8/2020 ,70067,3043450,59101,2279893,918,56858
23/8/2020 ,61749,3105199,56896,2336789,846,57704
24/8/2020 ,59696,3164895,66305,2403094,854,58558
25/8/2020 ,66873,3231768,64151,2467245,1066,59624
26/8/2020 ,75995,3307763,56191,2523436,1017,60641
27/8/2020 ,76827,3384590,59620,2583056,1066,61707
28/8/2020 ,76657,3461247,64475,2647531,1019,62726
29/8/2020 ,78479,3539726,64982,2712513,943,63669
30/8/2020 ,79461,3619187,60422,2772935,960,64629
31/8/2020 ,68766,3687953,64435,2837370,816,65445
01/9/2020 ,78168,3766121,62145,2899515,892,66337
02/9/2020 ,82860,3848981,67874,2967389,913,67250
03/9/2020 ,84156,3933137,67491,3034880,979,68229
04/9/2020 ,87115,4020252,69625,3104505,950,69179
05/9/2020 ,90600,4110852,73161,3177666,916,70095
06/9/2020 ,91725,4202577,69630,3247296,1005,71100
07/9/2020 ,75015,4277592,74116,3321412,1129,72229
08/9/2020 ,89855,4367447,74608,3396020,1107,73336
09/9/2020 ,95536,4462983,73062,3469082,1168,74504
10/9/2020 ,96762,4559745,70904,3539986,1213,75717
11/9/2020 ,97655,4657400,81456,3621442,1202,76919
12/9/2020 ,94414,4751814,77862,3699304,1111,78030
13/9/2020 ,93220,4845034,77748,3777052,1140,79170
14/9/2020 ,81913,4926947,79213,3856265,1054,80224
15/9/2020 ,91098,5018045,82849,3939114,1281,81505
